Date, Open , High , Low , Close , Adj_Close , Volume 
09/02/2022, 311.67 , 315.42 , 306.67 , 310.67 , 310.67 ," 52,259,400.00 "
10/02/2022, 302.79 , 314.60 , 298.90 , 301.52 , 301.52 ," 66,126,900.00 "
11/02/2022, 303.21 , 305.32 , 283.57 , 286.67 , 286.67 ," 79,645,800.00 "
14/02/2022, 287.19 , 299.63 , 284.38 , 291.92 , 291.92 ," 67,756,500.00 "
15/02/2022, 300.00 , 307.67 , 297.79 , 307.48 , 307.48 ," 57,286,200.00 "
16/02/2022, 304.68 , 308.81 , 300.40 , 307.80 , 307.80 ," 51,294,300.00 "
17/02/2022, 304.42 , 306.17 , 291.37 , 292.12 , 292.12 ," 55,178,400.00 "
18/02/2022, 295.33 , 295.62 , 279.20 , 285.66 , 285.66 ," 68,501,700.00 "
22/02/2022, 278.04 , 285.58 , 267.03 , 273.84 , 273.84 ," 83,288,100.00 "
23/02/2022, 276.81 , 278.43 , 253.52 , 254.68 , 254.68 ," 95,256,900.00 "
24/02/2022, 233.46 , 267.49 , 233.33 , 266.92 , 266.92 ," 135,322,200.00 "
25/02/2022, 269.74 , 273.17 , 260.80 , 269.96 , 269.96 ," 76,067,700.00 "
28/02/2022, 271.67 , 292.29 , 271.57 , 290.14 , 290.14 ," 99,006,900.00 "
01/03/2022, 289.89 , 296.63 , 284.59 , 288.12 , 288.12 ," 74,766,900.00 "
02/03/2022, 290.71 , 295.49 , 281.42 , 293.30 , 293.30 ," 74,643,300.00 "
03/03/2022, 292.92 , 295.48 , 277.53 , 279.76 , 279.76 ," 61,623,600.00 "
04/03/2022, 283.03 , 285.22 , 275.05 , 279.43 , 279.43 ," 66,999,600.00 "
07/03/2022, 285.43 , 288.71 , 268.19 , 268.19 , 268.19 ," 72,494,100.00 "
08/03/2022, 265.18 , 283.33 , 260.72 , 274.80 , 274.80 ," 80,399,100.00 "
09/03/2022, 279.83 , 286.85 , 277.34 , 286.32 , 286.32 ," 59,184,000.00 "
10/03/2022, 283.82 , 284.82 , 270.12 , 279.43 , 279.43 ," 58,648,500.00 "
11/03/2022, 280.07 , 281.27 , 264.59 , 265.12 , 265.12 ," 67,037,100.00 "
14/03/2022, 260.20 , 266.90 , 252.01 , 255.46 , 255.46 ," 71,152,200.00 "
15/03/2022, 258.42 , 268.52 , 252.19 , 267.30 , 267.30 ," 66,841,200.00 "
16/03/2022, 269.67 , 280.67 , 267.42 , 280.08 , 280.08 ," 84,028,800.00 "
17/03/2022, 277.00 , 291.67 , 275.24 , 290.53 , 290.53 ," 66,582,900.00 "
18/03/2022, 291.50 , 302.62 , 289.13 , 301.80 , 301.80 ," 100,414,200.00 "
21/03/2022, 304.99 , 314.28 , 302.36 , 307.05 , 307.05 ," 81,981,600.00 "
22/03/2022, 310.00 , 332.62 , 307.25 , 331.33 , 331.33 ," 105,868,500.00 "
23/03/2022, 326.65 , 346.90 , 325.47 , 333.04 , 333.04 ," 120,676,200.00 "
24/03/2022, 336.58 , 341.50 , 329.60 , 337.97 , 337.97 ," 68,920,800.00 "
25/03/2022, 336.00 , 340.60 , 332.44 , 336.88 , 336.88 ," 62,031,600.00 "
28/03/2022, 355.03 , 365.96 , 351.20 , 363.95 , 363.95 ," 102,506,100.00 "
29/03/2022, 369.33 , 371.59 , 357.70 , 366.52 , 366.52 ," 73,614,900.00 "
30/03/2022, 363.72 , 371.32 , 361.33 , 364.66 , 364.66 ," 59,865,000.00 "
31/03/2022, 364.86 , 367.71 , 358.88 , 359.20 , 359.20 ," 48,992,700.00 "
01/04/2022, 360.38 , 364.92 , 355.55 , 361.53 , 361.53 ," 54,263,100.00 "
04/04/2022, 363.13 , 383.30 , 357.51 , 381.82 , 381.82 ," 82,035,900.00 "
05/04/2022, 378.77 , 384.29 , 362.43 , 363.75 , 363.75 ," 80,075,100.00 "
06/04/2022, 357.82 , 359.67 , 342.57 , 348.59 , 348.59 ," 89,348,400.00 "
07/04/2022, 350.80 , 358.86 , 340.51 , 352.42 , 352.42 ," 79,447,200.00 "
08/04/2022, 347.74 , 349.48 , 340.81 , 341.83 , 341.83 ," 55,013,700.00 "
11/04/2022, 326.80 , 336.16 , 324.88 , 325.31 , 325.31 ," 59,357,100.00 "
12/04/2022, 332.55 , 340.40 , 325.53 , 328.98 , 328.98 ," 65,976,000.00 "
13/04/2022, 327.03 , 342.08 , 324.37 , 340.79 , 340.79 ," 55,121,100.00 "
14/04/2022, 333.10 , 337.57 , 327.40 , 328.33 , 328.33 ," 58,422,300.00 "
18/04/2022, 329.68 , 338.31 , 324.47 , 334.76 , 334.76 ," 51,715,200.00 "
19/04/2022, 335.02 , 344.98 , 331.78 , 342.72 , 342.72 ," 49,847,700.00 "
20/04/2022, 343.33 , 344.67 , 325.08 , 325.73 , 325.73 ," 70,711,200.00 "
21/04/2022, 358.24 , 364.07 , 332.14 , 336.26 , 336.26 ," 105,416,400.00 "
22/04/2022, 338.30 , 344.95 , 331.33 , 335.02 , 335.02 ," 69,696,600.00 "
25/04/2022, 326.32 , 336.21 , 325.10 , 332.67 , 332.67 ," 68,341,200.00 "
26/04/2022, 331.81 , 333.33 , 291.67 , 292.14 , 292.14 ," 136,133,700.00 "
27/04/2022, 299.53 , 306.00 , 292.45 , 293.84 , 293.84 ," 76,956,300.00 "
28/04/2022, 299.99 , 300.00 , 273.90 , 292.50 , 292.50 ," 124,948,500.00 "
29/04/2022, 300.75 , 311.47 , 290.00 , 290.25 , 290.25 ," 88,133,100.00 "
02/05/2022, 286.92 , 302.12 , 282.68 , 300.98 , 300.98 ," 75,781,500.00 "
03/05/2022, 301.06 , 308.03 , 296.20 , 303.08 , 303.08 ," 63,709,500.00 "
04/05/2022, 301.31 , 318.50 , 295.09 , 317.54 , 317.54 ," 81,643,800.00 "
05/05/2022, 313.01 , 315.20 , 285.90 , 291.09 , 291.09 ," 92,519,100.00 "
06/05/2022, 295.67 , 296.00 , 281.04 , 288.55 , 288.55 ," 72,903,000.00 "
09/05/2022, 278.82 , 281.88 , 260.38 , 262.37 , 262.37 ," 90,810,300.00 "
10/05/2022, 273.10 , 275.12 , 258.08 , 266.68 , 266.68 ," 84,401,700.00 "
11/05/2022, 265.00 , 269.92 , 242.40 , 244.67 , 244.67 ," 97,224,600.00 "
12/05/2022, 233.67 , 253.22 , 226.67 , 242.67 , 242.67 ," 140,313,000.00 "
13/05/2022, 257.83 , 262.45 , 250.52 , 256.53 , 256.53 ," 92,150,700.00 "
16/05/2022, 255.72 , 256.59 , 239.70 , 241.46 , 241.46 ," 86,098,500.00 "
17/05/2022, 249.12 , 254.83 , 242.95 , 253.87 , 253.87 ," 80,236,200.00 "
18/05/2022, 248.17 , 253.50 , 233.60 , 236.60 , 236.60 ," 87,811,800.00 "
